Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
St. George,40.6449815710044,-74.07935312512797,Ruddy & Dean,40.64407377863496,-74.07668273426954,Bar
St. George,40.6449815710044,-74.07935312512797,Steiny's Pub,40.642185270821706,-74.07659916524223,Bar
Stapleton,40.62692762538176,-74.07790192660066,El Patron Restaurant & Lounge Inc.,40.62915418246783,-74.07654100941468,Mexican Restaurant
Stapleton,40.62692762538176,-74.07790192660066,Taverna on the Bay,40.625907346083935,-74.07501697540283,Seafood Restaurant
Stapleton,40.62692762538176,-74.07790192660066,Dock Street Bar & Grill,40.62522457297863,-74.0747194008914,Bar
Stapleton,40.62692762538176,-74.07790192660066,Vinum Wine Bar & Cafe,40.624767,-74.074973,Bar
Rosebank,40.61530494652761,-74.06980526716141,Maizal,40.6183345,-74.06954669999999,Mexican Restaurant
Rosebank,40.61530494652761,-74.06980526716141,Rosebank Tavern,40.612474,-74.065212,Bar
West Brighton,40.63187892654607,-74.1071817826561,Jody's Club Forest,40.630893737789805,-74.10191246911978,Bar
West Brighton,40.63187892654607,-74.1071817826561,Burrito Bar,40.63023752407939,-74.1087755374525,Mexican Restaurant
West Brighton,40.63187892654607,-74.1071817826561,Pasticceria Bruno,40.62948149754213,-74.11159577324715,Café
West Brighton,40.63187892654607,-74.1071817826561,Liberty Tavern,40.63092851526023,-74.1021301106698,Bar
Port Ivory,40.63968297845542,-74.17464532993542,Jonesys Tavern,40.639359000000006,-74.171533,Bar
Castleton Corners,40.61333593766742,-74.11918058534842,Victory Cantina,40.61309291506951,-74.12180893344511,Mexican Restaurant
Castleton Corners,40.61333593766742,-74.11918058534842,Danny Boy's,40.61321180615184,-74.12384558912291,Bar
New Springville,40.594252379161695,-74.16496031329827,QDOBA Mexican Eats,40.5909256,-74.1644609,Mexican Restaurant
New Dorp,40.57257231820632,-74.1164794360638,Cantina Mexicana,40.573801597848664,-74.11606088924255,Mexican Restaurant
New Dorp,40.57257231820632,-74.1164794360638,Nori,40.57373691295499,-74.11752277814138,Sushi Restaurant
Oakwood,40.5584622432888,-74.12156593771896,The Rooks Ale House,40.55855290687947,-74.1252862516179,Bar
Great Kills,40.549480228713605,-74.14932381490992,Bungalow 18,40.54939564209138,-74.15087994864128,Bar
Great Kills,40.549480228713605,-74.14932381490992,La Iguana Azul,40.551041999999995,-74.150468,Mexican Restaurant
Great Kills,40.549480228713605,-74.14932381490992,Flanagan's Tavern,40.551159394722376,-74.14949753070722,Bar
Great Kills,40.549480228713605,-74.14932381490992,Talk Of the Town,40.551301496762385,-74.15053003112754,Bar
Eltingville,40.542230747450745,-74.1643308041936,Kiku Sushi,40.54434975168076,-74.16569149258235,Sushi Restaurant
Eltingville,40.542230747450745,-74.1643308041936,East Sushi,40.54517057803783,-74.16135675962384,Sushi Restaurant
Eltingville,40.542230747450745,-74.1643308041936,TOMO Japanese Cuisine,40.54283524941763,-74.16557764794854,Sushi Restaurant
Eltingville,40.542230747450745,-74.1643308041936,Dunkin',40.54403669052809,-74.16474768457704,Café
Eltingville,40.542230747450745,-74.1643308041936,Joyces Tavern,40.54495314321089,-74.16550388256678,Bar
Eltingville,40.542230747450745,-74.1643308041936,Aka Sushi,40.54531782100602,-74.16019664756374,Sushi Restaurant
Woodrow,40.541967622888755,-74.20524582480326,QDOBA Mexican Eats,40.542108,-74.207452,Mexican Restaurant
Woodrow,40.541967622888755,-74.20524582480326,Misaki Sushi,40.542515431898444,-74.20738828365053,Sushi Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Don Cesar Mexican,40.508984,-74.24668,Mexican Restaurant
Tompkinsville,40.637316067110326,-74.08055351790115,Every Thing Goes Cafe and Bookstore,40.63691976365909,-74.07666116952896,Café
Tompkinsville,40.637316067110326,-74.08055351790115,Taqueria El Gallo Azteca,40.63840151780652,-74.07867819070816,Mexican Restaurant
Tompkinsville,40.637316067110326,-74.08055351790115,Staten Island Fish Fry,40.63982009887695,-74.07575225830078,Seafood Restaurant
Westerleigh,40.62109047275409,-74.13304143951704,Osaka,40.6244475428562,-74.1368158715092,Sushi Restaurant
Dongan Hills,40.588672948199275,-74.09639905312521,Red Apple,40.58675657547483,-74.09170785757414,Sushi Restaurant
Dongan Hills,40.588672948199275,-74.09639905312521,Bars,40.58887481689453,-74.10147857666016,Bar
Midland Beach,40.57352690574283,-74.09348266303591,Cafe Sicilia,40.57387420034823,-74.0899592494882,Café
Grant City,40.57621558711788,-74.10585598545434,Moe's Southwest Grill,40.57263702737227,-74.10782037547146,Mexican Restaurant
Grant City,40.57621558711788,-74.10585598545434,Grant City Tavern,40.578740627486134,-74.10915288731941,Bar
Bay Terrace,40.55398800858462,-74.13916622175768,Genki Sushi,40.553789316350965,-74.14295730770142,Sushi Restaurant
Chelsea,40.59472602746295,-74.1895604551969,West Shore Inn Steakhouse,40.59414002159549,-74.18673466874999,Steakhouse
Bulls Head,40.6095918004203,-74.15940948657122,Sanma Japanese Restaurant,40.61180973836901,-74.15874947034513,Sushi Restaurant
Bulls Head,40.6095918004203,-74.15940948657122,Tropical Smoothie Cafe,40.60831476687017,-74.16282693777111,Café
Bulls Head,40.6095918004203,-74.15940948657122,101 Cafe,40.61160572451654,-74.15576165552477,Café
Richmond Town,40.56960594275505,-74.1340572986257,Moonstruck Cafe,40.573073,-74.136913,Café
Shore Acres,40.60971934079284,-74.06667766061771,Danny Blaines,40.60982,-74.063232,Bar
Shore Acres,40.60971934079284,-74.06667766061771,Rosebank Tavern,40.612474,-74.065212,Bar
Clifton,40.61917845202843,-74.072642445484,Maizal,40.6183345,-74.06954669999999,Mexican Restaurant
Manor Heights,40.60180957631444,-74.12059399718001,Manor Sushi,40.605181,-74.12119799999999,Sushi Restaurant
Prince's Bay,40.52626406734812,-74.20152556457658,Cucumber Sushi + Salad Bar,40.52578325868962,-74.20175213301054,Sushi Restaurant
Lighthouse Hill,40.57650629379489,-74.13792663771568,Moonstruck Cafe,40.573073,-74.136913,Café
Richmond Valley,40.51954145748909,-74.22957080626941,Qdoba Mexican Grill,40.5169739,-74.2341608,Mexican Restaurant
